Год,1-комн,2-комн,3-комн,4-комн+
2010,2500000,3500000,4500000,6000000
2011,2650000,3750000,4850000,6500000
2012,2850000,4050000,5250000,7100000
2013,3100000,4400000,5700000,7700000
2014,3350000,4750000,6150000,8300000
2015,3500000,4950000,6400000,8600000
2016,3650000,5150000,6650000,8900000
2017,3850000,5450000,7050000,9400000
2018,4100000,5800000,7500000,10000000
2019,4350000,6150000,7950000,10600000
2020,4600000,6500000,8400000,11200000
2021,4900000,6950000,9000000,12000000
2022,5250000,7450000,9650000,12900000
2023,5600000,8000000,10350000,13800000
2024,6000000,8600000,11100000,14800000
