Год,Субъект,Доля_плохих_дорог_%
2009,Московская область,42.5
2010,Московская область,41.2
2011,Московская область,40.0
2012,Московская область,38.5
2013,Московская область,37.0
2014,Московская область,35.2
2015,Московская область,33.1
2016,Московская область,31.0
2017,Московская область,29.5
2018,Московская область,28.0
2019,Московская область,27.1
2020,Московская область,26.5
2021,Московская область,25.8
2022,Московская область,25.0
2023,Московская область,24.2
2009,Краснодарский край,55.3
2010,Краснодарский край,54.0
2011,Краснодарский край,53.0
2012,Краснодарский край,52.0
2013,Краснодарский край,51.0
2014,Краснодарский край,50.0
2015,Краснодарский край,48.5
2016,Краснодарский край,47.0
2017,Краснодарский край,46.0
2018,Краснодарский край,45.0
2019,Краснодарский край,44.0
2020,Краснодарский край,43.0
2021,Краснодарский край,42.0
2022,Краснодарский край,41.0
2023,Краснодарский край,40.0
2009,Чеченская Республика,70.0
2010,Чеченская Республика,68.0
2011,Чеченская Республика,65.0
2012,Чеченская Республика,62.0
2013,Чеченская Республика,58.0
2014,Чеченская Республика,54.0
2015,Чеченская Республика,50.0
2016,Чеченская Республика,47.0
2017,Чеченская Республика,44.0
2018,Чеченская Республика,42.0
2019,Чеченская Республика,40.0
2020,Чеченская Республика,38.0
2021,Чеченская Республика,36.0
2022,Чеченская Республика,34.5
2023,Чеченская Республика,33.7
